timestamp,eda_level_real
2024-07-13T10:21:00.000+07:00,6.97
2024-07-13T10:22:00.000+07:00,7.34
2024-07-13T10:23:00.000+07:00,7.66
2024-07-13T10:24:00.000+07:00,8.28
2024-07-13T10:25:00.000+07:00,9.12
2024-07-13T10:26:00.000+07:00,9.44
2024-07-13T10:27:00.000+07:00,9.41
2024-07-13T10:28:00.000+07:00,9.15
2024-07-13T10:29:00.000+07:00,8.7
2024-07-13T10:30:00.000+07:00,8.42
2024-07-13T10:31:00.000+07:00,8.34
2024-07-13T10:32:00.000+07:00,8.31
2024-07-13T10:33:00.000+07:00,8.28
2024-07-13T10:34:00.000+07:00,8.25
2024-07-13T10:35:00.000+07:00,8.23
2024-07-13T10:36:00.000+07:00,8.19
2024-07-13T10:37:00.000+07:00,8.09
2024-07-13T10:38:00.000+07:00,7.97
2024-07-13T10:39:00.000+07:00,7.89
2024-07-13T10:40:00.000+07:00,7.85
2024-07-13T10:41:00.000+07:00,7.83
2024-07-13T10:42:00.000+07:00,7.82
2024-07-13T10:43:00.000+07:00,7.81
2024-07-13T10:44:00.000+07:00,7.8
2024-07-13T10:45:00.000+07:00,7.8
2024-07-13T10:46:00.000+07:00,7.82
2024-07-15T06:34:00.000+07:00,7.26
2024-07-15T06:35:00.000+07:00,9.8
2024-07-15T06:36:00.000+07:00,10.43
2024-07-15T06:37:00.000+07:00,10.49
2024-07-15T06:38:00.000+07:00,10.48
2024-07-15T06:39:00.000+07:00,10.42
2024-07-15T06:40:00.000+07:00,10.31
2024-07-15T06:41:00.000+07:00,10.21
2024-07-15T06:42:00.000+07:00,10.08
2024-07-15T06:43:00.000+07:00,9.9
2024-07-15T06:44:00.000+07:00,9.66
2024-07-15T06:45:00.000+07:00,9.38
2024-07-15T06:46:00.000+07:00,9.12
2024-07-15T06:47:00.000+07:00,8.92
2024-07-15T06:48:00.000+07:00,8.8
2024-07-15T06:49:00.000+07:00,8.74
2024-07-15T06:50:00.000+07:00,8.74
2024-07-15T06:51:00.000+07:00,8.77
2024-07-15T06:52:00.000+07:00,9.1
2024-07-15T06:53:00.000+07:00,10.27
2024-07-15T06:54:00.000+07:00,11.57
2024-07-15T06:55:00.000+07:00,12.15
2024-07-15T06:56:00.000+07:00,12.28
2024-07-15T06:57:00.000+07:00,12.17
2024-07-15T06:58:00.000+07:00,11.92
2024-07-15T06:59:00.000+07:00,11.77
2024-07-15T07:00:00.000+07:00,11.75
2024-07-15T07:01:00.000+07:00,11.66
2024-07-15T07:02:00.000+07:00,11.57
2024-07-15T07:03:00.000+07:00,11.55
2024-07-15T07:04:00.000+07:00,11.47
2024-07-15T07:05:00.000+07:00,11.31
2024-07-15T07:06:00.000+07:00,11.28
2024-07-15T07:07:00.000+07:00,11.54
2024-07-15T07:08:00.000+07:00,11.91
2024-07-15T07:09:00.000+07:00,12.05
2024-07-15T07:10:00.000+07:00,12.14
2024-07-15T07:11:00.000+07:00,11.98
2024-07-15T07:12:00.000+07:00,11.59
2024-07-15T07:13:00.000+07:00,11.2
2024-07-15T07:14:00.000+07:00,10.87
2024-07-15T07:15:00.000+07:00,10.63
2024-07-15T07:16:00.000+07:00,10.43
2024-07-15T07:17:00.000+07:00,10.25
2024-07-15T07:18:00.000+07:00,10.13
2024-07-15T07:19:00.000+07:00,10.11
2024-07-15T07:20:00.000+07:00,10.15
2024-07-15T07:21:00.000+07:00,10.28
2024-07-15T07:22:00.000+07:00,10.39
2024-07-15T07:23:00.000+07:00,10.38
2024-07-15T07:24:00.000+07:00,10.26
2024-07-15T07:25:00.000+07:00,10.13
2024-07-15T07:26:00.000+07:00,10.03
2024-07-15T07:27:00.000+07:00,9.96
2024-07-15T07:28:00.000+07:00,9.92
2024-07-15T07:29:00.000+07:00,9.98
2024-07-15T07:30:00.000+07:00,10.52
2024-07-15T07:31:00.000+07:00,11.2
2024-07-15T07:32:00.000+07:00,11.59
2024-07-15T07:33:00.000+07:00,11.68
2024-07-15T07:34:00.000+07:00,11.28
2024-07-15T07:35:00.000+07:00,10.84
2024-07-15T07:36:00.000+07:00,10.63
2024-07-15T07:37:00.000+07:00,10.63
2024-07-15T07:38:00.000+07:00,10.67
2024-07-15T07:39:00.000+07:00,10.77
2024-07-15T07:40:00.000+07:00,10.83
2024-07-15T07:41:00.000+07:00,10.77
2024-07-15T07:42:00.000+07:00,10.62
2024-07-15T07:43:00.000+07:00,10.37
2024-07-15T07:44:00.000+07:00,10.13
2024-07-15T07:45:00.000+07:00,9.98
2024-07-15T07:46:00.000+07:00,9.89
2024-07-15T07:47:00.000+07:00,9.81
2024-07-15T07:48:00.000+07:00,9.72
2024-07-15T07:49:00.000+07:00,9.65
2024-07-15T07:50:00.000+07:00,9.6
2024-07-15T07:51:00.000+07:00,9.62
2024-07-15T07:52:00.000+07:00,9.83
2024-07-15T07:53:00.000+07:00,10.22
2024-07-15T07:54:00.000+07:00,10.44
2024-07-15T07:55:00.000+07:00,10.45
2024-07-15T07:56:00.000+07:00,10.35
2024-07-15T07:57:00.000+07:00,10.13
2024-07-15T07:58:00.000+07:00,10.02
2024-07-15T07:59:00.000+07:00,10.02
2024-07-15T08:00:00.000+07:00,10.04
2024-07-15T08:01:00.000+07:00,10.05
2024-07-15T08:02:00.000+07:00,10.05
2024-07-15T08:03:00.000+07:00,10.01
2024-07-15T08:04:00.000+07:00,10.0
2024-07-15T08:05:00.000+07:00,10.1
2024-07-15T08:06:00.000+07:00,10.33
2024-07-15T08:07:00.000+07:00,10.58
2024-07-15T08:08:00.000+07:00,10.68
2024-07-15T08:09:00.000+07:00,10.62
2024-07-15T08:10:00.000+07:00,10.46
2024-07-15T08:11:00.000+07:00,10.3
2024-07-15T08:12:00.000+07:00,10.18
2024-07-15T08:13:00.000+07:00,10.11
2024-07-15T08:14:00.000+07:00,10.04
2024-07-15T08:15:00.000+07:00,9.97
2024-07-15T08:16:00.000+07:00,9.9
2024-07-15T08:17:00.000+07:00,9.84
2024-07-15T08:18:00.000+07:00,9.82
2024-07-15T08:19:00.000+07:00,9.8
2024-07-15T08:20:00.000+07:00,10.07
2024-07-15T08:21:00.000+07:00,12.54
2024-07-15T08:22:00.000+07:00,16.13
2024-07-15T08:23:00.000+07:00,17.43
2024-07-15T08:24:00.000+07:00,17.41
2024-07-15T08:25:00.000+07:00,16.96
2024-07-15T08:26:00.000+07:00,16.31
2024-07-15T08:27:00.000+07:00,15.44
2024-07-15T08:28:00.000+07:00,14.5
2024-07-15T08:29:00.000+07:00,13.8
2024-07-15T08:30:00.000+07:00,13.21
2024-07-15T08:31:00.000+07:00,12.65
2024-07-15T08:32:00.000+07:00,12.23
2024-07-15T08:33:00.000+07:00,11.93
2024-07-15T08:34:00.000+07:00,11.69
2024-07-15T08:35:00.000+07:00,11.48
2024-07-15T08:36:00.000+07:00,11.24
2024-07-15T08:37:00.000+07:00,11.0
2024-07-15T08:38:00.000+07:00,10.88
2024-07-15T08:39:00.000+07:00,10.87
2024-07-15T08:40:00.000+07:00,11.01
2024-07-15T08:41:00.000+07:00,11.31
2024-07-15T08:42:00.000+07:00,11.5
2024-07-15T08:43:00.000+07:00,11.47
2024-07-15T08:44:00.000+07:00,11.29
2024-07-15T08:45:00.000+07:00,10.98
2024-07-15T08:46:00.000+07:00,10.78
2024-07-15T08:47:00.000+07:00,10.7
2024-07-15T08:48:00.000+07:00,10.67
2024-07-15T08:49:00.000+07:00,10.64
2024-07-15T08:50:00.000+07:00,10.61
2024-07-15T08:51:00.000+07:00,10.52
2024-07-15T08:52:00.000+07:00,10.35
2024-07-15T08:53:00.000+07:00,10.2
2024-07-15T08:54:00.000+07:00,10.08
2024-07-15T08:55:00.000+07:00,10.0
2024-07-15T08:56:00.000+07:00,10.01
2024-07-15T08:57:00.000+07:00,10.15
2024-07-15T08:58:00.000+07:00,10.34
2024-07-15T08:59:00.000+07:00,10.42
2024-07-15T09:00:00.000+07:00,10.38
2024-07-15T09:01:00.000+07:00,10.22
2024-07-15T09:02:00.000+07:00,10.04
2024-07-15T09:03:00.000+07:00,9.9
2024-07-15T09:04:00.000+07:00,9.78
2024-07-15T09:05:00.000+07:00,9.69
2024-07-15T09:06:00.000+07:00,9.61
2024-07-15T09:07:00.000+07:00,9.56
2024-07-15T09:08:00.000+07:00,9.58
2024-07-15T09:09:00.000+07:00,9.74
2024-07-15T09:10:00.000+07:00,10.02
