timestamp,heart rate zone,total minutes
2023-06-26T07:49:00Z,fat burn,1
2023-06-26T07:50:00Z,cardio,2
2023-06-26T07:51:00Z,cardio,2
2023-06-26T07:52:00Z,fat burn,1
2023-06-26T07:53:00Z,fat burn,1
2023-06-26T07:55:00Z,fat burn,1
2023-06-26T07:56:00Z,fat burn,1
2023-06-26T07:57:00Z,fat burn,1
2023-06-26T07:58:00Z,fat burn,1
2023-06-26T07:59:00Z,cardio,2
2023-06-26T08:00:00Z,fat burn,1
2023-06-26T08:01:00Z,fat burn,1
2023-06-26T08:02:00Z,cardio,2
2023-06-26T08:03:00Z,fat burn,1
2023-06-26T08:04:00Z,fat burn,1
2023-06-27T07:03:00Z,fat burn,1
2023-06-27T07:04:00Z,cardio,2
2023-06-27T07:05:00Z,peak,2
2023-06-27T07:06:00Z,peak,2
2023-06-27T07:07:00Z,cardio,2
2023-06-27T07:08:00Z,fat burn,1
2023-06-27T07:09:00Z,fat burn,1
2023-06-27T07:10:00Z,cardio,2
2023-06-27T07:11:00Z,cardio,2
2023-06-27T07:12:00Z,cardio,2
2023-06-27T07:13:00Z,cardio,2
2023-06-27T07:14:00Z,cardio,2
2023-06-27T07:15:00Z,cardio,2
2023-06-27T07:16:00Z,cardio,2
2023-06-27T07:17:00Z,fat burn,1
2023-06-27T07:18:00Z,fat burn,1
2023-06-27T07:19:00Z,cardio,2
2023-06-27T07:20:00Z,cardio,2
2023-06-27T07:21:00Z,fat burn,1
2023-06-27T07:22:00Z,fat burn,1
2023-06-27T07:23:00Z,fat burn,1
2023-06-27T07:24:00Z,fat burn,1
2023-06-27T07:25:00Z,cardio,2
2023-06-27T07:26:00Z,cardio,2
2023-06-27T07:27:00Z,cardio,2
2023-06-27T07:28:00Z,fat burn,1
2023-06-27T07:29:00Z,fat burn,1
2023-06-27T07:30:00Z,fat burn,1
2023-06-27T07:31:00Z,fat burn,1
2023-06-27T07:32:00Z,fat burn,1
2023-06-27T07:33:00Z,cardio,2
2023-06-27T07:34:00Z,cardio,2
2023-06-27T07:35:00Z,cardio,2
2023-06-27T07:36:00Z,fat burn,1
2023-06-27T07:37:00Z,fat burn,1
2023-06-27T07:38:00Z,fat burn,1
2023-06-27T07:39:00Z,fat burn,1
2023-06-27T07:40:00Z,fat burn,1
2023-06-27T07:41:00Z,cardio,2
2023-06-27T07:42:00Z,cardio,2
2023-06-27T07:43:00Z,fat burn,1
2023-06-27T07:44:00Z,fat burn,1
2023-06-27T07:45:00Z,fat burn,1
2023-06-27T07:46:00Z,cardio,2
2023-06-27T07:47:00Z,fat burn,1
2023-06-27T07:48:00Z,fat burn,1
2023-06-27T07:49:00Z,cardio,2
2023-06-27T07:50:00Z,cardio,2
2023-06-27T07:51:00Z,cardio,2
2023-06-27T07:52:00Z,cardio,2
2023-06-27T07:53:00Z,fat burn,1
2023-06-27T07:54:00Z,fat burn,1
2023-06-27T07:55:00Z,cardio,2
2023-06-27T07:56:00Z,fat burn,1
2023-06-27T07:57:00Z,cardio,2
2023-06-27T07:58:00Z,cardio,2
2023-06-27T07:59:00Z,fat burn,1
2023-06-27T08:00:00Z,cardio,2
2023-06-27T08:01:00Z,cardio,2
2023-06-27T08:02:00Z,fat burn,1
2023-06-27T08:03:00Z,fat burn,1
2023-06-27T08:04:00Z,cardio,2
2023-06-27T08:05:00Z,peak,2
2023-06-27T08:06:00Z,peak,2
2023-06-27T08:07:00Z,cardio,2
2023-06-27T08:08:00Z,fat burn,1
2023-06-27T08:09:00Z,fat burn,1
2023-06-27T08:10:00Z,fat burn,1
2023-06-27T08:11:00Z,fat burn,1
2023-06-27T08:19:00Z,fat burn,1
2023-06-27T08:20:00Z,fat burn,1
2023-06-27T08:21:00Z,fat burn,1
2023-06-28T07:01:00Z,fat burn,1
2023-06-28T07:02:00Z,cardio,2
2023-06-28T07:03:00Z,cardio,2
2023-06-28T07:04:00Z,fat burn,1
2023-06-28T07:05:00Z,cardio,2
2023-06-28T07:06:00Z,fat burn,1
2023-06-28T07:07:00Z,cardio,2
2023-06-28T07:08:00Z,fat burn,1
2023-06-28T07:09:00Z,fat burn,1
2023-06-28T07:10:00Z,fat burn,1
2023-06-28T07:11:00Z,fat burn,1
2023-06-28T07:12:00Z,fat burn,1
2023-06-28T07:13:00Z,fat burn,1
2023-06-28T07:14:00Z,fat burn,1
2023-06-28T07:15:00Z,fat burn,1
2023-06-28T07:16:00Z,fat burn,1
2023-06-28T07:17:00Z,fat burn,1
2023-06-28T07:18:00Z,fat burn,1
2023-06-28T07:19:00Z,fat burn,1
2023-06-28T07:20:00Z,fat burn,1
2023-06-28T07:21:00Z,fat burn,1
2023-06-28T07:22:00Z,fat burn,1
2023-06-28T07:23:00Z,fat burn,1
2023-06-28T07:24:00Z,fat burn,1
2023-06-28T07:25:00Z,fat burn,1
2023-06-28T07:26:00Z,fat burn,1
2023-06-28T07:27:00Z,fat burn,1
2023-06-28T07:28:00Z,fat burn,1
2023-06-28T07:29:00Z,fat burn,1
2023-06-28T07:30:00Z,fat burn,1
2023-06-28T07:31:00Z,fat burn,1
2023-06-28T07:32:00Z,fat burn,1
2023-06-28T07:33:00Z,fat burn,1
2023-06-28T07:35:00Z,fat burn,1
2023-06-28T07:36:00Z,fat burn,1
2023-06-28T07:37:00Z,fat burn,1
2023-06-28T07:38:00Z,fat burn,1
2023-06-28T07:41:00Z,fat burn,1
2023-06-28T07:44:00Z,fat burn,1
2023-06-28T07:47:00Z,fat burn,1
2023-06-28T07:48:00Z,fat burn,1
2023-06-28T07:49:00Z,fat burn,1
2023-06-28T07:50:00Z,fat burn,1
2023-06-28T07:52:00Z,fat burn,1
2023-06-28T07:53:00Z,fat burn,1
2023-06-28T07:54:00Z,cardio,2
2023-06-28T07:55:00Z,cardio,2
2023-06-28T07:56:00Z,cardio,2
2023-06-28T07:57:00Z,cardio,2
2023-06-28T07:58:00Z,peak,2
2023-06-28T07:59:00Z,cardio,2
2023-06-28T08:00:00Z,fat burn,1
2023-06-28T08:01:00Z,fat burn,1
2023-06-28T08:02:00Z,fat burn,1
2023-06-29T07:04:00Z,fat burn,1
2023-06-29T07:05:00Z,cardio,2
2023-06-29T07:06:00Z,cardio,2
2023-06-29T07:07:00Z,fat burn,1
2023-06-29T07:08:00Z,fat burn,1
2023-06-29T07:09:00Z,fat burn,1
2023-06-29T07:10:00Z,fat burn,1
2023-06-29T07:11:00Z,fat burn,1
2023-06-29T07:12:00Z,cardio,2
2023-06-29T07:13:00Z,cardio,2
2023-06-29T07:14:00Z,fat burn,1
2023-06-29T07:15:00Z,cardio,2
2023-06-29T07:16:00Z,cardio,2
2023-06-29T07:17:00Z,cardio,2
2023-06-29T07:18:00Z,cardio,2
2023-06-29T07:19:00Z,cardio,2
2023-06-29T07:20:00Z,cardio,2
2023-06-29T07:21:00Z,cardio,2
2023-06-29T07:22:00Z,cardio,2
2023-06-29T07:23:00Z,cardio,2
2023-06-29T07:24:00Z,cardio,2
2023-06-29T07:25:00Z,fat burn,1
2023-06-29T07:26:00Z,fat burn,1
2023-06-29T07:27:00Z,cardio,2
2023-06-29T07:28:00Z,cardio,2
2023-06-29T07:29:00Z,fat burn,1
2023-06-29T07:30:00Z,fat burn,1
2023-06-29T07:31:00Z,cardio,2
2023-06-29T07:32:00Z,cardio,2
