timestamp,workout,background,total
2025-06-12T00:41:00Z,0.0,0.94,0.94
2025-06-12T00:42:00Z,0.0,1.5,1.5
2025-06-12T00:43:00Z,0.0,0.75,0.75
2025-06-12T00:44:00Z,0.0,0.68,0.68
2025-06-12T00:45:00Z,0.0,0.58,0.58
2025-06-12T00:46:00Z,0.0,0.64,0.64
2025-06-12T00:47:00Z,0.0,0.34,0.34
2025-06-12T00:48:00Z,0.0,0.31,0.31
2025-06-12T00:59:00Z,0.0,0.24,0.24
2025-06-12T02:26:00Z,0.0,0.26,0.26
2025-06-12T02:27:00Z,0.0,0.28,0.28
2025-06-12T02:31:00Z,0.0,0.27,0.27
2025-06-12T02:39:00Z,0.0,0.23,0.23
2025-06-13T00:15:00Z,0.0,0.25,0.25
