name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(26, 53)",2025-01-10 00:00:00 - 2025-01-11 00:00:00,ENABLED,2025-01-10 10:45:16+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(26, 54)",2024-11-23 00:00:00 - 2024-11-24 00:00:00,ENABLED,2024-11-23 22:37:53+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(27, 54)",2024-12-07 00:00:00 - 2024-12-08 00:00:00,ENABLED,2024-12-07 10:30:20+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(28, 55)",2024-11-08 00:00:00 - 2024-11-09 00:00:00,ENABLED,2024-11-08 10:59:30+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(29, 60)",2025-07-13 00:00:00 - 2025-07-14 00:00:00,ENABLED,2025-07-12 23:08:26+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(3, 31)",2025-06-05 00:00:00 - 2025-06-06 00:00:00,ENABLED,2025-06-05 00:36:07+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(3, 32)",2025-06-04 00:00:00 - 2025-06-05 00:00:00,ENABLED,2025-06-04 11:50:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(31, 61)",2025-07-14 00:00:00 - 2025-07-15 00:00:00,ENABLED,2025-07-14 00:42:37+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(31, 65)",2024-10-12 00:00:00 - 2024-10-13 00:00:00,ENABLED,2024-10-12 08:25:26+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(39, 69)",2025-07-15 00:00:00 - 2025-07-16 00:00:00,ENABLED,2025-07-14 18:54:46+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(39, 69)",2025-07-15 00:00:00 - 2025-07-16 00:00:00,ENABLED,2025-07-15 00:12:30+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(42, 70)",2024-11-16 00:00:00 - 2024-11-17 00:00:00,ENABLED,2024-11-16 16:40:37+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(44, 68)",2024-10-30 00:00:00 - 2024-10-31 00:00:00,ENABLED,2024-10-30 10:51:37+0000
